Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
11-JUN-2024,69922.15,70183.9,69598.1,69678.7,453914589,19013.08
12-JUN-2024,69991.35,70361.95,69858.4,70202.15,454679319,18668.71
13-JUN-2024,70831.4,70933.55,70231.8,70842.55,462779848,22084.47
14-JUN-2024,71215.55,71970.25,71078.05,71892.15,446774237,24211.5
18-JUN-2024,72333.85,72414.35,72051.2,72345.7,433539650,24191.6
19-JUN-2024,72596.4,72614.6,71303.95,71536.7,532656721,22633.24
20-JUN-2024,71649.85,71843.6,71025.75,71632.2,394450872,18862.72
21-JUN-2024,71847.4,71878.25,70970.8,71111.8,457090268,20095.78
24-JUN-2024,70944.85,71693.1,70383.1,71642.25,387971216,17047.34
25-JUN-2024,71915.7,72049.35,71257.3,71360.85,355717608,16287.28
26-JUN-2024,71271.1,71520.1,71032.55,71235.8,491194588,21603.12
27-JUN-2024,71204.8,71578.2,70654.35,71340.65,547466175,23011.18
28-JUN-2024,71536.05,71829,71365.15,71523.45,453449939,16587.95
01-JUL-2024,71727.5,72247.65,71536.05,72197.25,396196687,16464.9
02-JUL-2024,72428,72431.7,71335.2,71807.5,423717569,17315.62
03-JUL-2024,72220.4,72635.85,72112.7,72584.95,400298329,16861.49
04-JUL-2024,72877.2,73131.8,72534.95,72928.25,334986557,15752.23
05-JUL-2024,72984.85,73483.8,72785.65,73426.55,555833181,19210.16
08-JUL-2024,73693.75,73812.2,73232.35,73508.8,635894517,22980.3
09-JUL-2024,73823.9,74096,73446.5,73863.6,494006856,18571.67
10-JUL-2024,74148.7,74158.9,72254,73897.5,563816077,21627.62
11-JUL-2024,74155.45,74308.55,73787.05,74059.2,438903542,16814.33
12-JUL-2024,74322.4,74453.3,73424.4,73732.1,610851369,20408.15
15-JUL-2024,74053,74430.95,73744.65,74367.35,519828373,17796.84
16-JUL-2024,74612.45,74715.6,73807.5,73921.7,433845070,18585.43
18-JUL-2024,73906.25,73943.35,72648.05,73112.5,513123833,24854.01
19-JUL-2024,73047.85,73059.6,71246.9,71353,,
22-JUL-2024,71092.1,72352,70696.3,72265.95,364674089,17638.54
23-JUL-2024,72627,72635.2,68938.5,71632.2,595576725,27110.19
24-JUL-2024,71704.3,72163.75,71449.9,71844.65,405227039,18917.68
25-JUL-2024,71340.2,72355.4,71055.3,72210.25,467687099,17317.58
26-JUL-2024,72611.2,73457.85,72559.6,73400.65,421969979,18698.39
29-JUL-2024,73836.2,74365.5,73571.6,74288.3,679980926,25619.78
30-JUL-2024,74495.85,74656.65,74118.95,74215.85,442376662,21950.67
31-JUL-2024,74514.8,74879.05,74381.25,74788.1,423613295,20477.52
01-AUG-2024,74936.7,75057.3,73921.3,74294.65,489063845,25854.54
02-AUG-2024,73621.4,74241.25,73173.45,73328.15,723628855,27387.54
05-AUG-2024,71459.55,72084.95,70269.45,70936.9,775888423,28806.27
06-AUG-2024,71496.4,72456.65,70081,70282.45,541173307,22765.32
07-AUG-2024,71577.65,72491.05,71077.35,72401.25,482082423,21244.35
08-AUG-2024,72465.1,72495.55,71716.4,71825.9,337357739,16212.11
09-AUG-2024,72658.9,72900,72241.2,72718.85,306632494,17893.55
12-AUG-2024,72401.5,72736.65,71965.85,72434.25,335488037,17682.56
13-AUG-2024,72596.85,72669,71534.25,71609.8,321505235,15482.15
14-AUG-2024,71840.1,71921.65,71100.1,71642.4,307122540,15655.92
16-AUG-2024,72208.55,73001.85,71885.2,72943.2,302678541,15577.56
19-AUG-2024,73446.45,73664.35,73249.85,73370.75,317458882,15151.76
20-AUG-2024,73628.8,74002.75,73314.95,73971.3,397686854,16061.8
21-AUG-2024,74088.95,74256.05,73922.05,74178.5,276669176,12787.64
22-AUG-2024,74546.15,74713.65,74382,74660.35,258349079,13268.08
23-AUG-2024,74904.35,74958.6,74325.25,74403.6,327612786,15867.01
26-AUG-2024,74752.5,74817.25,74433.5,74768.8,240717013,12346.06
27-AUG-2024,74884.55,74933.35,74622.6,74848.95,248407398,13230.81
28-AUG-2024,75173.75,75308.05,74786.2,75082.55,248463336,14123.12
29-AUG-2024,75119.6,75259.9,74290.85,74896.4,302336021,18048.62
30-AUG-2024,75166.15,75450.55,75056.4,75279.8,384636052,22656.68
02-SEP-2024,75674.85,75712.35,74989.15,75335.8,341044816,15882.7
03-SEP-2024,75741.75,75746.3,75242.15,75413.65,331002184,17289.31
04-SEP-2024,74894.55,75530.6,74744.25,75450.55,319423112,15007.19
05-SEP-2024,75736.85,75807.7,75382.8,75485.95,378834812,15972.22
06-SEP-2024,75473.4,75509.7,74315.9,74462,414981447,16834.7
09-SEP-2024,74350.4,74701.05,73570.8,74572.9,354583888,15134.3
10-SEP-2024,74877.4,75092.2,74535.55,74737.6,360035296,15811.34
11-SEP-2024,74882.65,75132.2,74176.7,74355.25,384194436,16034.64
12-SEP-2024,74904.5,75469.95,74741.7,75446.35,336302188,14768.58
13-SEP-2024,75698.6,75754.7,75372.85,75427.55,349372683,14084.81
16-SEP-2024,75707.4,75742.7,75342.15,75464.3,264927786,12637.7
17-SEP-2024,75635.1,75635.1,75040.25,75260.2,268892565,13283.1
18-SEP-2024,75359.3,75502.95,74508.1,74936.15,318620842,12406.67
19-SEP-2024,75397.1,75578,73338.55,74419.55,404466929,19317.86
20-SEP-2024,74678.45,75691.05,74545.3,75481.85,479235066,22542.5
23-SEP-2024,75893.55,76743.35,75775.25,76707.5,354863679,15459.69
24-SEP-2024,76747.35,76959.35,76636.45,76803.8,398093272,17273.52
25-SEP-2024,76889.7,76915.2,76049.45,76517.4,322506880,13741.28
26-SEP-2024,76751.7,77143.7,76431.15,77086.95,369713581,16111.14
27-SEP-2024,77201.8,77918,77053.95,77813.25,826144084,41324.34
30-SEP-2024,77668.7,77866.35,77006.85,77095.15,397673143,16771.7
01-OCT-2024,77233,77532,77004.65,77284.45,373977599,13630.83
03-OCT-2024,75950.75,76783.5,75059.75,75448.3,468692219,18122.7
04-OCT-2024,75363.3,75724.05,74184.75,74620.25,453579467,18031.92
07-OCT-2024,74989.25,75156,72531.3,72884.3,509704499,18553.03
08-OCT-2024,72771.4,74740.8,72459.85,74597.3,412831913,17685.36
09-OCT-2024,75013.75,76009.9,74926.5,75407.8,378484165,16785.17
10-OCT-2024,75668.5,76085.9,75163.8,75278.1,270571472,11774.04
11-OCT-2024,75397.8,75514.35,74975.9,75378.45,184319907,8263.53
14-OCT-2024,75659.35,75745.9,75309.5,75651.7,213414759,10771.88
15-OCT-2024,76018.55,76054.45,75634.45,75859.85,230733949,12425.76
16-OCT-2024,75830.4,76093.3,75340.05,75698.15,256592411,13235.02
17-OCT-2024,75717.4,75746.75,73933.05,74007.2,275716816,12510.12
18-OCT-2024,73813.6,74415.9,73085,74288.1,354110930,13650.37
21-OCT-2024,74495.2,74782.35,73153.15,73285.35,278068176,10645.68
22-OCT-2024,73296.5,73351.9,71049.85,71158.65,418580760,14335.18
23-OCT-2024,71087.2,71706.55,70262.1,70884.7,560271521,18772.76
24-OCT-2024,71112.95,71360.8,70587.4,70826.25,345407189,12854.19
25-OCT-2024,71049.55,71244.8,68826.55,69716.5,395239229,14288.1
28-OCT-2024,69789.05,70469.8,69018.5,70030.55,477561065,18102.12
29-OCT-2024,70121.95,70624.1,69095.9,70538.35,434042943,14040.14
30-OCT-2024,70405.7,70890.45,70050,70268.35,414667259,13784.47
31-OCT-2024,70327.65,70461.25,69651.8,69911.75,391325583,12762.48
01-NOV-2024,70320.7,70611.7,70288.85,70400.75,86583526,2136.06
04-NOV-2024,70462.35,70469.75,68726.45,69418.25,457358420,12859.44
05-NOV-2024,69317.6,69895.5,68495.7,69797.45,387213615,13233.06
06-NOV-2024,70191.85,71482.7,70135.45,71389.8,409270477,13962.58
07-NOV-2024,71580.75,71722.15,70522,70639.9,327631314,12138.1
08-NOV-2024,70668.6,70889.95,69561.55,69774.2,282982402,10041.89
11-NOV-2024,69713.6,70603,69228.4,69973.75,292890537,11436.63
12-NOV-2024,70097.95,70424.3,68280.15,68448.9,290614710,12397.52
13-NOV-2024,68270.4,68528.45,66896.45,67101.45,386846870,13725.57
14-NOV-2024,67221.85,67926.3,66925.35,67408.65,352571375,13155.25
18-NOV-2024,67913.65,68080.1,67013.2,67472,312057792,11705.33
19-NOV-2024,67789.8,68536.3,67611.4,67775.5,304479930,11606.26
21-NOV-2024,67395.75,67404.35,65996,66765.45,533319278,20557.64
22-NOV-2024,66931.7,68269.5,66858.75,68016.85,378429619,17669.41
25-NOV-2024,69337.75,69907.45,69249.35,69342.7,690796170,29273.67
26-NOV-2024,69588.5,69828.1,69309.85,69522.25,267704656,11573.28
27-NOV-2024,69724.15,70243.95,69398.3,70185.4,375718466,16371.06
28-NOV-2024,70442.9,70872.4,70050.75,70254.25,423446383,19249.38
29-NOV-2024,70366.3,70977.2,70207.35,70726.85,464629141,23042.42
02-DEC-2024,70690.2,71197.95,70572.7,71164.35,281115926,14716.56
03-DEC-2024,71426.6,71941.55,71369.3,71890.75,333710201,14671.32
04-DEC-2024,72196.15,72415.8,71716.85,72244.85,391736395,14738.31
05-DEC-2024,72520.3,72571.7,71950.35,72487.05,355963549,14379.69
06-DEC-2024,72789.1,73218.6,72619.35,73040.4,537486135,15886.06
09-DEC-2024,72894.5,73001.4,72538.6,72708.1,376126407,14557.45
10-DEC-2024,72888.45,73152.45,72700.15,73096.45,289370621,12483.28
11-DEC-2024,73126.65,73438.2,73012.6,73292.15,341123912,12953.67
12-DEC-2024,73344.05,73443.9,73037.45,73082.6,309416395,14077.19
13-DEC-2024,73026.7,73068.2,71711.5,72965.95,318779368,12787.91
16-DEC-2024,73060.9,73284.5,72856.8,73155.6,222219062,9798.58
17-DEC-2024,73082.35,73298.7,72061.05,72188,282884981,12424.03
18-DEC-2024,72183.8,72262.9,71104.15,71250,247721307,10107.87
19-DEC-2024,70026.95,70821.35,69849.15,70625.7,271124892,10600.16
20-DEC-2024,70762.95,70956.25,68519.75,68702.65,584763736,22494.79
23-DEC-2024,69096.4,69456.35,68633.95,68888.95,303229090,11783.28
24-DEC-2024,68957.6,69231.9,68571.85,68857.25,210113425,9109.92
26-DEC-2024,69020.1,69233.25,68688.1,69165.85,193389459,8271.43
27-DEC-2024,69218.2,69432.65,68458.45,68557.15,151797472,6535.91
30-DEC-2024,68624.2,68704,67840.5,68063.8,834476489,34797.08
31-DEC-2024,67737.6,68154.2,67380.2,67988.35,264110987,10192.67
01-JAN-2025,68044.65,68325.05,67744.9,68247.95,152056428,5700.26
02-JAN-2025,68362.2,69198.45,68189.2,69103.6,269935270,11303.88
03-JAN-2025,69444.25,69785.9,69096,69192.45,356427787,16697.76
06-JAN-2025,69280.6,69280.6,66759.6,66996.8,429190567,13440.72
07-JAN-2025,67034.6,67629.4,66819.85,66938.9,323287608,11513.34
08-JAN-2025,67011.2,67084.55,65880.4,66402.6,276430784,10416.83
09-JAN-2025,66481.85,66490.7,65482.4,65557.2,252424329,9521.55
10-JAN-2025,65544.35,65662.45,64126.25,64257.1,342457573,12450.15
13-JAN-2025,63399.2,63478.55,61388.9,61481.55,429093291,15324.44
14-JAN-2025,61860.75,63296.65,61839.55,63084.1,480279843,19147.29
15-JAN-2025,63580.05,63953.65,62990.8,63639.55,382786713,15025.79
16-JAN-2025,64520.55,64914.95,64448.85,64564.5,359852526,12810.99
17-JAN-2025,64616.2,65250.8,64251.95,65053.6,272230061,11744.45
20-JAN-2025,65322.65,65574.55,64689.75,65106.15,323322456,10696.24
21-JAN-2025,64933.55,65029.45,63348.15,63406.15,525581008,16112.1
22-JAN-2025,63467.8,63579.15,61895.8,62865.6,434035644,14818.8
23-JAN-2025,62773.35,63808.6,62567.85,63499.75,270666785,10961.09
24-JAN-2025,63574.7,63755.1,62388.6,62494,264630006,10081.04
27-JAN-2025,62041.8,62050.85,60600.15,60730.9,364498051,13085.5
28-JAN-2025,61173.75,61542.55,60131.4,60912.1,449164010,14469.52
29-JAN-2025,60992.5,62213.45,60965.1,62142.15,364429442,12810.25
30-JAN-2025,62330.5,62771.75,61890.85,62193.15,371564087,12297.5
31-JAN-2025,62303.95,63311.3,62026.05,63127.35,474757698,15597.06
01-FEB-2025,63448.2,63804.15,62505,63503.1,456056821,16885.98
03-FEB-2025,63039.85,63039.85,62106.75,62634.2,455567083,18131.59
04-FEB-2025,63302.95,63674.35,62923.05,63598.35,372199400,14330.3
05-FEB-2025,63838.3,64377.5,63833.85,64012.8,344311801,12573.79
06-FEB-2025,64451.3,64458.05,63342.7,63536.7,251032300,9606.38
07-FEB-2025,63653.7,63907.35,62910.6,63552.2,280277002,10698.47
10-FEB-2025,63572.8,64029.1,62156.1,62390.3,250623200,9368.95
11-FEB-2025,62374.25,62521.75,60574.75,60827.8,358027685,11944.05
12-FEB-2025,60793.7,61157.5,59151.9,60826.5,463743168,14647.36
13-FEB-2025,60975.7,61738.9,60827.05,60947.75,268810845,10283.26
14-FEB-2025,61145.5,61239.8,59066.85,59557.95,312049550,10731.8
17-FEB-2025,59221.95,59551.5,58230.9,59446.55,314864071,10163.48
18-FEB-2025,59567.5,59673.55,58784.25,59449.4,289700648,11328.51
19-FEB-2025,59074.5,60273.25,58798.75,60156.4,314407949,11039.16
20-FEB-2025,59946.45,61073.25,59769.45,61039.1,313985864,10570.41
21-FEB-2025,60973.45,61417.55,60246.35,60466.8,326219483,11995.75
24-FEB-2025,59850.3,60062.9,59535.3,59752.6,235179750,9458.32
25-FEB-2025,59790.4,60057.9,59251.35,59312.5,295593353,10930.1
27-FEB-2025,59368.4,59572.75,58615,58767.2,323343602,12280.37
28-FEB-2025,58275.5,58370.6,56868.45,57063.05,660533181,24520.97
03-MAR-2025,57261.7,57798.6,56192.45,57646.8,420402545,13202.97
04-MAR-2025,57135.3,58168.95,56741.4,57966.85,379584303,12304.84
05-MAR-2025,57943.25,59483.2,57943.25,59441.65,352167324,13869.51
